// SYSTEM: ELECTRICAL PROPERTIES (CONDUCTION, RESISTANCE, AND BREAKDOWN CORRELATIONS)
// UNITS: S/m (Conductivity), Ω·m (Resistivity), MV/m (Dielectric Strength / Breakdown Voltage)

Silver conductivity: 6.30e7 S/m (at 20°C) | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Silver resistivity: 1.59e-8 Ω·m (at 20°C) | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Silver breakdown voltage: 0.00 MV/m (Conductor: breaks down instantly at >0V) | Source: IEEE Trans. Dielectr. Electr. Insul. | Certainty: gameplay-tuned

Copper conductivity: 5.96e7 S/m (at 20°C) | Source: NIST Reference Data | Certainty: measured
Copper resistivity: 1.68e-8 Ω·m (at 20°C) | Source: NIST Reference Data | Certainty: measured
Copper breakdown voltage: 0.00 MV/m (Conductor: breaks down instantly at >0V) | Source: IEEE Trans. Dielectr. Electr. Insul. | Certainty: gameplay-tuned

Aluminium conductivity: 3.50e7 S/m (at 20°C) | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Aluminium resistivity: 2.82e-8 Ω·m (at 20°C) | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Aluminium breakdown voltage: 0.00 MV/m (Conductor: breaks down instantly at >0V) | Source: IEEE Trans. Dielectr. Electr. Insul. | Certainty: gameplay-tuned

Structural Steel conductivity: 6.90e6 S/m (at 20°C) | Source: ASM International Material Data | Certainty: approx
Structural Steel resistivity: 1.45e-7 Ω·m (at 20°C) | Source: ASM International Material Data | Certainty: approx
Structural Steel breakdown voltage: 0.00 MV/m (Conductor: breaks down instantly at >0V) | Source: IEEE Trans. Dielectr. Electr. Insul. | Certainty: gameplay-tuned

Titanium Alloy conductivity: 5.56e5 S/m (at 20°C) | Source: Titanium Metals Corp Data | Certainty: measured
Titanium Alloy resistivity: 1.80e-6 Ω·m (at 20°C) | Source: Titanium Metals Corp Data | Certainty: measured
Titanium Alloy breakdown voltage: 0.00 MV/m (Conductor: breaks down instantly at >0V) | Source: IEEE Trans. Dielectr. Electr. Insul. | Certainty: gameplay-tuned

Carbon/Graphite conductivity: 3.00e4 S/m (at 20°C) | Source: Carbon Elements Properties | Certainty: approx
Carbon/Graphite resistivity: 3.33e-5 Ω·m (at 20°C) | Source: Carbon Elements Properties | Certainty: approx
Carbon/Graphite breakdown voltage: 0.00 MV/m (Conductor: breaks down instantly at >0V) | Source: IEEE Trans. Dielectr. Electr. Insul. | Certainty: gameplay-tuned

Sea Water conductivity: 4.80 S/m (at 20°C, 3.5% salinity) | Source: NOAA Oceanographic Data | Certainty: measured
Sea Water resistivity: 2.08e-1 Ω·m (at 20°C, 3.5% salinity) | Source: NOAA Oceanographic Data | Certainty: measured
Sea Water breakdown voltage: 0.15 MV/m (Electrolytic fluid: bubbles/evaporates on arc) | Source: Journal of Marine Research | Certainty: approx

Deionised Water conductivity: 5.50e-6 S/m (at 25°C) | Source: ASTM D1125 Pure Water Standard | Certainty: measured
Deionised Water resistivity: 1.82e5 Ω·m (at 25°C) | Source: ASTM D1125 Pure Water Standard | Certainty: measured
Deionised Water breakdown voltage: 65.00 MV/m (Highly purified liquid dielectric state) | Source: High Voltage Engineering Journal | Certainty: approx

Transformer Mineral Oil conductivity: 1.00e-12 S/m (at 20°C) | Source: IEC 60296 Specification | Certainty: measured
Transformer Mineral Oil resistivity: 1.00e12 Ω·m (at 20°C) | Source: IEC 60296 Specification | Certainty: measured
Transformer Mineral Oil breakdown voltage: 12.00 MV/m (Liquid spark-suppression barrier) | Source: IEEE Electrical Insulation Magazine | Certainty: measured

Dry Ambient Air conductivity: 5.00e-15 S/m (Sea level, baseline ionization) | Source: NASA Atmospheric Science Data | Certainty: approx
Dry Ambient Air resistivity: 2.00e14 Ω·m (Sea level, baseline ionization) | Source: NASA Atmospheric Science Data | Certainty: approx
Dry Ambient Air breakdown voltage: 3.00 MV/m (Standard arc gap across typical air gaps) | Source: Handbook of High Voltage Engineering | Certainty: measured

Natural Vulcanized Rubber conductivity: 1.00e-13 S/m (at 20°C) | Source: Rubber Manufacturers Association | Certainty: approx
Natural Vulcanized Rubber resistivity: 1.00e13 Ω·m (at 20°C) | Source: Rubber Manufacturers Association | Certainty: approx
Natural Vulcanized Rubber breakdown voltage: 25.00 MV/m (Solid insulation safety barrier) | Source: Polymer Engineering Handbook | Certainty: measured

Electrical Porcelain conductivity: 1.00e-12 S/m (at 20°C) | Source: Ceramic Engineering Handbooks | Certainty: approx
Electrical Porcelain resistivity: 1.00e12 Ω·m (at 20°C) | Source: Ceramic Engineering Handbooks | Certainty: approx
Electrical Porcelain breakdown voltage: 30.00 MV/m (High-voltage power insulator grid standard) | Source: Utility Infrastructure Specifications | Certainty: measured

Fused Quartz Glass conductivity: 1.33e-18 S/m (at 20°C) | Source: Heraeus Quartz Material Data | Certainty: measured
Fused Quartz Glass resistivity: 7.50e17 Ω·m (at 20°C) | Source: Heraeus Quartz Material Data | Certainty: measured
Fused Quartz Glass breakdown voltage: 40.00 MV/m (Extreme electrical protection barrier) | Source: Materials Science Journal | Certainty: measured

Teflon conductivity: 1.00e-15 S/m (at 20°C) | Source: DuPont Material Properties Data | Certainty: measured
Teflon resistivity: 1.00e15 Ω·m (at 20°C) | Source: DuPont Material Properties Data | Certainty: measured
Teflon breakdown voltage: 60.00 MV/m (Maximum performance solid electrical insulator) | Source: Dielectric Materials Database | Certainty: measured

// SYSTEM: CORROSIVE FLUIDS AND MATERIAL DEGRADATION TIMELINES
// UNITS: pH (Acidity/Alkalinity), Corrosion Time (minutes required to completely destroy a 10mm structural layer)

Battery Acid pH: 0.0 pH | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Battery Acid vs Structural Steel dissolution time: 12.0 min (Rapid iron-sulfate conversion, heavy bubbling) | Source: Corrosion Engineering Manual | Certainty: approx
Battery Acid vs Aluminium dissolution time: 45.0 min (Delayed by initial oxide layer, then steady breakdown) | Source: Metal Corrosion Rates | Certainty: approx
Battery Acid vs Titanium Alloy dissolution time: 99999.0 min (Immune: protective passivation barrier holds) | Source: Titanium Metals Corp Data | Certainty: measured
